> 21-Nov 20:48:27 EL01 EleBBS/W32 v0.11.b1 system log created.
! 21-Nov 20:48:27 EL01 Unable to open file. "config.ra"
! 21-Nov 20:48:27 EL01 Last error: File not found
! 21-Nov 20:48:27 EL01 Terminated EleBBS/W32
! 22-Nov 10:13:38 EL01 Unable to open file. "config.ra"
! 22-Nov 10:13:38 EL01 Last error: File not found
! 22-Nov 10:13:38 EL01 Terminated EleBBS/W32
! 18-Dec 00:18:20 EL01 Unable to open file. "config.ra"
! 18-Dec 00:18:20 EL01 Last error: File not found
! 18-Dec 00:18:20 EL01 Terminated EleBBS/W32
! 18-Dec 00:18:31 EL01 Unable to open file. "config.ra"
! 18-Dec 00:18:31 EL01 Last error: File not found
! 18-Dec 00:18:31 EL01 Terminated EleBBS/W32
! 18-Dec 00:55:11 EL01 Unable to open file. "config.ra"
! 18-Dec 00:55:11 EL01 Last error: File not found
! 18-Dec 00:55:11 EL01 Terminated EleBBS/W32
! 23-Feb 00:05:09 EL01 Unable to open file. "config.ra"
! 23-Feb 00:05:09 EL01 Last error: File not found
! 23-Feb 00:05:09 EL01 Terminated EleBBS/W32
